map,metric,full,sector,adaptive,sector_vs_full_comparison_valid,sector_vs_full_reduction_pct,adaptive_vs_full_comparison_valid,adaptive_vs_full_reduction_pct,adaptive_vs_sector_comparison_valid,adaptive_vs_sector_reduction_pct
seed10,mission_time_s,77.252,73.123,73.908,True,5.344845440894723,True,4.328690519339298,True,-1.073533635107964
seed10,map_compute_ms_per_frame,37.593251768718055,10.769166513636897,24.408278871811962,True,71.35345838159685,True,35.07271192719093,True,-126.64965613544913
seed10,algorithm_cores_mean,1.4780604194138591,1.021625926929031,1.0265345727118842,False,,False,,True,-0.48047388515366957
seed10,algorithm_core_s,116.7041079,76.5739109,77.68781729999999,False,,False,,True,-1.4546813489187875
seed10,algorithm_cores_p95_1s,1.7496801920631675,1.251716170924917,1.296357001067353,False,,False,,True,-3.566370010978621
seed10,algorithm_peak_pss_mib,3476.9419921875,3188.70078125,3202.89853515625,False,,False,,True,-0.44525199698054924
seed10,end_to_end_cores_mean,1.5300428312248264,1.2631849120579497,1.3207099432366673,True,17.441205809464318,True,13.681505100127453,True,-4.5539675648119715
seed10,end_to_end_core_s,120.8148563,94.6904717,99.9951492,True,21.62348687907184,True,17.232737543718784,True,-5.602123851285025
seed10,end_to_end_cores_p95_1s,1.8049163790000438,1.4952544382627386,1.5905700837476453,True,17.15658101063183,True,11.87569118139147,True,-6.374543558997836
seed10,end_to_end_peak_pss_mib,3523.79248046875,3564.1716796875,3596.72275390625,True,-1.1459017363411368,True,-2.069652904980335,True,-0.9132858106768946
seed10,planner_ingress_mib_s,12.95240846240905,4.177425803731388,3.416338515245577,True,67.74788398732741,True,73.6239130725332,True,18.219049822644063
seed10,dds_algorithm_mib_s,,4.177425803731388,3.4190335686770226,False,,False,,True,18.15453512967122
all,mission_time_s,77.252,73.123,73.908,True,5.344845440894723,True,4.328690519339298,True,-1.073533635107964
all,map_compute_ms_per_frame,37.593251768718055,10.769166513636897,24.408278871811962,True,71.35345838159685,True,35.07271192719093,True,-126.64965613544913
all,algorithm_cores_mean,1.4780604194138591,1.021625926929031,1.0265345727118842,False,,False,,True,-0.48047388515366957
all,algorithm_core_s,116.7041079,76.5739109,77.68781729999999,False,,False,,True,-1.4546813489187875
all,algorithm_cores_p95_1s,1.7496801920631675,1.251716170924917,1.296357001067353,False,,False,,True,-3.566370010978621
all,algorithm_peak_pss_mib,3476.9419921875,3188.70078125,3202.89853515625,False,,False,,True,-0.44525199698054924
all,end_to_end_cores_mean,1.5300428312248264,1.2631849120579497,1.3207099432366673,True,17.441205809464318,True,13.681505100127453,True,-4.5539675648119715
all,end_to_end_core_s,120.8148563,94.6904717,99.9951492,True,21.62348687907184,True,17.232737543718784,True,-5.602123851285025
all,end_to_end_cores_p95_1s,1.8049163790000438,1.4952544382627386,1.5905700837476453,True,17.15658101063183,True,11.87569118139147,True,-6.374543558997836
all,end_to_end_peak_pss_mib,3523.79248046875,3564.1716796875,3596.72275390625,True,-1.1459017363411368,True,-2.069652904980335,True,-0.9132858106768946
all,planner_ingress_mib_s,12.95240846240905,4.177425803731388,3.416338515245577,True,67.74788398732741,True,73.6239130725332,True,18.219049822644063
all,dds_algorithm_mib_s,,4.177425803731388,3.4190335686770226,False,,False,,True,18.15453512967122
